Team             ,Player         ,     Position,  Salary
Los Angeles Dodgers,Dave Hansen         ,3b,275000
Los Angeles Dodgers,Carlos Hernandez  ,c,265000
Los Angeles Dodgers,Henry Rodriguez   ,of,177000
Los Angeles Dodgers,Rafael Bournigal   ,ss,134000
Los Angeles Dodgers,Raul Mondesi        ,of,126000
Los Angeles Dodgers,Billy Ashley          ,,109000
Los Angeles Dodgers,Darren Dreifort     ,p,109000
Los Angeles Dodgers,Chan Ho Park        ,p,109000
Montreal Expos,Larry Walker        ,of,4025000
Montreal Expos,Marquis Grissom  ,of,3560000
Montreal Expos,Ken Hill          ,p,2550000
Montreal Expos,John Wetteland     ,p,2225000
Montreal Expos,Moises Alou         ,of,1400000
Montreal Expos,Mel Rojas              ,p,850000
Montreal Expos,Randy Milligan    ,1b,600000
Montreal Expos,Darrin Fletcher    ,c,600000
Montreal Expos,Jeff Fassero          ,p,315000
Montreal Expos,Mike Lansing       ,ss,200000
Montreal Expos,Sean Berry            ,3b,200000
Montreal Expos,Wilfredo Cordero ,ss,200000
Montreal Expos,Pedro Martinez     ,p,200000
Montreal Expos,Freddie Benavides ,ss,195000
Montreal Expos,Lenny Webster      ,c,180000
Montreal Expos,Jeff Shaw              ,p,172500
Montreal Expos,Tim Scott              ,p,165000
Montreal Expos,Lou Frazier           ,of,140000
Montreal Expos,Gil Heredia           ,p,135000
Montreal Expos,Denis Boucher      ,p,135000
Montreal Expos,Tim Spehr             ,c,132000
Montreal Expos,Kirk Rueter           ,p,130000
Montreal Expos,Rondell White       ,of,112000
Montreal Expos,Cliff Floyd            ,1b,109500
Montreal Expos,Jeff Gardner          ,if,109000
New York Mets  ,Bobby Bonilla       ,3b,6300000
New York Mets  ,Dwight Gooden     ,p,4616667
New York Mets  ,Bret Saberhagen    ,p,4362990
New York Mets  ,John Franco            ,p,4000000
New York Mets  ,Kevin McReynolds ,of,2916667
New York Mets  ,Mike Maddux         ,p,1362500
New York Mets  ,Pete Smith        ,p,1100000
New York Mets  ,Joe Orsulak            ,of,850000
New York Mets  ,Jose Vizcaino         ,ss,850000
New York Mets  ,David Segui           ,1b,550000
New York Mets  ,Luis Rivera            ,ss,450000
New York Mets  ,Jeff Kent         ,2b,437500
New York Mets  ,Todd Hundley       ,c,290000
New York Mets  ,Pete Schourek        ,p,225000
New York Mets  ,Jeff McKnight        ,2b,180000
New York Mets  ,Jeromy Burnitz      ,of,175000
New York Mets  ,Ryan Thompson    ,of,175000
New York Mets  ,Eric Hillman          ,p,170000
New York Mets  ,Tim Bogar             ,ss,162000
New York Mets  ,David Telgheder   ,p,135000
New York Mets  ,Boboy Jones         ,p,130000
New York Mets  ,Jonathan Hurst      ,p,125000
New York Mets  ,John Cangelosi     ,of,109000
New York Mets  ,Kelly Stinnett        ,c,109000
New York Mets  ,Fernando Vina      ,if,109000
Philadelphia Phillies  ,Doug Jones        ,p,3250000
Philadelphia Phillies  ,Danny Jackson       ,p,2625000
Philadelphia Phillies  ,Lenny Dykstra       ,of,2600000
Philadelphia Phillies  ,John Kruk           ,1b (DL),2450000
Philadelphia Phillies  ,Curt Schilling    ,p,2300000
Philadelphia Phillies  ,Darren Daulton  ,c,2250000
Philadelphia Phillies  ,Mariano Duncan      ,2b,2200000
Philadelphia Phillies  ,Tommy Greene        ,p,2000000
Philadelphia Phillies  ,Dave Hollins      ,3b,2000000
Philadelphia Phillies  ,Milt Thompson   ,of,1375000
Philadelphia Phillies  ,Jim Eisenreich    ,of,1200000
Philadelphia Phillies  ,Ricky Jordan       ,1b,1100000
Philadelphia Phillies  ,Pete Incaviglia    ,of,1050000
Philadelphia Phillies  ,Norm Charlton    ,p (DL),850000
Philadelphia Phillies  ,Mickey Morandini  ,2b,750000
Philadelphia Phillies  ,David West          ,p,600000
Philadelphia Phillies  ,Roger Mason        ,p,500000
Philadelphia Phillies  ,Wes Chamberlain ,of (DL),350000
Philadelphia Phillies  ,Larry Andersen    ,p (DL),350000
Philadelphia Phillies  ,Ben Rivera            ,p,335000
Philadelphia Phillies  ,Kevin Stocker       ,ss,190000
Philadelphia Phillies  ,Heathcliff Slocumb ,p,185000
Philadelphia Phillies  ,Kim Batiste           ,ss,175000
Philadelphia Phillies  ,Todd Pratt             ,c,155000
Philadelphia Phillies  ,Mike Williams      ,p,130000
Philadelphia Phillies  ,Bobby Munoz       ,p,125000
Philadelphia Phillies  ,Tony Longmire     ,of ,109000
Philadelphia Phillies  ,Jeff Juden         ,p,109000
Philadelphia Phillies  ,Tom Marsh            ,of,109000
Pittsburgh Pirates,Andy Van Slyke       ,of,3550000
Pittsburgh Pirates,Jay Bell               ,ss,3200000
Pittsburgh Pirates,Zane Smfth         ,p,3125000
Pittsburgh Pirates,Jeff King            ,3b,2400000
Pittsburgh Pirates,Orlanoo Merced       ,of,1485000
Pittsburgh Pirates,Don Slaught        ,c,1475000
Pittsburgh Pirates,Randy Tornlin     ,p,975000
Pittsburgh Pirates,Lloyd McClendon ,of,650000
Pittsburgh Pirates,Tom Foley           ,2b,400000
Pittsburgh Pirates,Dave Clark          ,of,380000
Pittsburgh Pirates,Brian Hunter       ,1b,250000
Pittsburgh Pirates,Denny Neagle     ,p,220000
Pittsburgh Pirates,Carlos Garcia      ,2b,192500
Pittsburgh Pirates,Al Martin            ,of,192500
Pittsburgh Pirates,Steve Cooke        ,p,187500
Pittsburgh Pirates,Paul Wagner        ,p,180000
Pittsburgh Pirates,Jeff Ballard          ,p,175000
Pittsburgh Pirates,Alejandro Pena    ,p DL,175000
Pittsburgh Pirates,Kevin Young       ,1b,160000
Pittsburgh Pirates,Jerry Goff            ,c,145000
Pittsburgh Pirates,Blas Minor           ,p,145000
Pittsburgh Pirates,Mark Dewey        ,p,140000
Pittsburgh Pirates,Joel Johnston       ,p,130000
Pittsburgh Pirates,Will Pennyfeather ,of,115000
Pittsburgh Pirates,Ravelo Manzanillo ,p,109000
Pittsburgh Pirates,Rick White           ,p,109000
St. Louis Cardinals,Gregg Jefferies    ,1b,4600000
St. Louis Cardinals,Bob Tewksbury   ,p,3500000
St. Louis Cardinals,Ozzie Smith         ,ss,3000000
St. Louis Cardinals,Todd Zeile           ,3b,2700000
St. Louis Cardinals,Tom Pagnozzi      ,c DL,2575000
St. Louis Cardinals,Jose Oquendo      ,2b,2150000
St. Louis Cardinals,Ray Lankford       ,of,1650000
St. Louis Cardinals,Bernard Gilkey    ,of,1635000
St. Louis Cardinals,Mark Whiten        ,of,1008334
St. Louis Cardinals,Brian Jordan        ,of,846667
St. Louis Cardinals,Rich Rodriguez    ,p,700000
St. Louis Cardinals,Gerald Perry        ,1b,650000
St. Louis Cardinals,Luis Alicea         ,2b,650000
St. Louis Cardinals,Rob Murphy        ,p,600000
St. Louis Cardinals,Geronimo Pena   ,if,575000
St. Louis Cardinals,John Habyan       ,p,250000
St. Louis Cardinals,Rick Sutcliffe     ,p,250000
St. Louis Cardinals,Paul Kilgus         ,p DL,225000
St. Louis Cardinals,Mike Perez          ,p,200000
St. Louis Cardinals,Rheal Cormier    ,p,160000
St. Louis Cardinals,Rene Arocha      ,p,140000
St. Louis Cardinals,Vicente Palacios  ,p,140000
St. Louis Cardinals,Erik Pappas         ,c,140000
St. Louis Cardinals,Allen Watson      ,p,130000
St. Louis Cardinals,Stan Royer          ,3b,130000
St. Louis Cardinals,Tom Urbani         ,p,130000
St. Louis Cardinals,Donovan Osbome      ,p DL,112000
St. Louis Cardinals,Terry McGriff      ,c,109000
San Diego Padres,Tony Gwynn        ,of,3583333
San Diego Padres,Andy Benes         ,p,3005000
San Diego Padres,Bip Roberts         ,2b,1500000
San Diego Padres,Gene Harris         ,p,750000
San Diego Padres,Wally Whitehurst ,p,695000
San Diego Padres,Phil Plantier         ,ot,500000
San Diego Padres,Mark Davis         ,p,400000
San Diego Padres,Derek Bell          ,of,385000
San Diego Padres,Cralg Shipley.     ,ss,275000
San Diego Padres,Andy Ashby        ,p,225000
San Diego Padres,Ricky Gutierrez   ,ss,187500
San Diego Padres,Archi Cianfrocco ,3b,185000
San Diego Padres,Trevor Hoffman   ,p,180000
San Diego Padres,Phil Clark            ,of,155000
San Diego Padres,Doug Brocal1     ,p DL,150000
San Diego Padres,Billy Bean          ,of,145000
San Diego Padres,Tim Mauser        ,p,145000
San Diego Padres,Tim Worrell        ,p,135000
San Diego Padres,Pedro Martinez   ,p,135000
San Diego Padres,Brad Ausmus      ,c,133500
San Diego Padres,Scott Sanders     ,p,115000
San Diego Padres,Brian Johnson    ,c,109000
San Diego Padres,Tim Hyers          ,1b ,109000
San Diego Padres,Dave Staton        ,1b,109000
San Diego Padres,A. J. Sager         ,p,109000
San Francisco Giants,Barry Bonds       ,of,4984300
San Francisco Giants,Matt Williams    ,3b,4050000
San Francisco Giants,Willie McGee     ,of,3562500
San Francisco Giants,John Burkett       ,p,3550000
San Francisco Giants,Robby Thompson      ,2b,3333333
San Francisco Giants,Bud Black           ,p (DL),3250000
San Francisco Giants,Mike Jackson      ,p,2966667
San Francisco Giants,Mark Portugal     ,p,2333333
San Francisco Giants,Bill Swift             ,p,2316667
San Francisco Giants,Kirt Manwaring   ,c,1800000
San Francisco Giants,Dave Martinez     ,of,1100000
San Francisco Giants,Trevor Wilson     ,p (DL),1000000
San Francisco Giants,Steve Frey.           ,p,915000
San Francisco Giants,Todd Benzinger   ,1b,700000
San Francisco Giants,Rod Beck             ,p,700000
San Francisco Giants,Mark Carreon      ,of,650000
San Francisco Giants,Jeff Reed             ,c,600000
San Francisco Giants,Darren Lewis       ,of,350000
San Francisco Giants,Royce Clayton     ,ss,325000
San Francisco Giants,Rich Monteleone  ,p,287500
San Francisco Giants,Bryan Hickerson  ,p,270000
San Francisco Giants,Mike Benjamin     ,ss,225000
San Francisco Giants,Dave Burba          ,p,225000
San Francisco Giants,Kevin Rogers        ,p,200000
San Francisco Giants,Steve Scarsone      ,2b,130000
San Francisco Giants,Salomon Torres    ,p,115000
San Francisco Giants,John Pattersan       ,2b,115000
